Table 1
ROSE Residence,,,,,,,,,,
Landscape Construction Work Outline RETAIL + VENDOR BUDGET WORKSHEET1.0 ,,,,,,,,,,
Site Plan dated 4/7/2026,,,,,,,,,,
,,,,,,,,,,
DESCRIPTION,QTY,UNIT ,RETAIL UNIT PRICE,VENDOR UNIT PRICE,PHASE 1 RETAIL,PHASE  2 RETAIL,PHASE 1 VENDOR,PHASE  2 VENDOR,PROJECT TOTAL RETAIL,PROJECT TOTAL WHOLESALE
Drain Retrofit - ALLOWANCE,1,ea,"$1,000.00",$750.00,"$1,000.00",,$750.00,,,
Install - ALLOWANCE,1,ea,"$1,000.00",$750.00,"$1,000.00",,$750.00,,,
,,,,,,,,,,
STEEL WORK ALLOWANCES 11.0,,,,,"$45,092.80",,"$40,223.29",,"$45,092.80","$40,223.29"
"Steel Retaining Walls @ South Side, Material A36 (50’-0” x 2’-9”)",1,ea,"$16,293.20","$14,812.00","$16,293.20",,"$14,812.00",,,
"Technical Site Survey, Shop Drawings, Footer Templating, Rigid Wall Templating",1,ea,"$8,631.70","$7,847.00","$8,631.70",,"$8,631.70",,,
Footers,50,lf,$122.70,$92.03,"$6,135.00",,"$4,601.25",,,
French Drain,50,lf,$88.33,$66.25,"$4,416.50",,"$3,312.38",,,
Delivery and Install,1,ea,"$8,254.40","$7,504.00","$8,254.40",,"$7,504.00",,,
Sales Tax - Estimate,1,ea,"$1,362.00","$1,361.96","$1,362.00",,"$1,361.96",,,
,,,,,,,,,,
GENERAL ALLOWANCES 11.0,,,,,"$9,000.00","$3,000.00","$2,662.50","$2,250.00","$12,000.00","$4,912.50"
Private Utilities Locate,1,ea,$750.00,$750.00,$750.00,,$750.00,,,
Tree Guards,6,ea,$500.00,$375.00,,"$3,000.00",,"$2,250.00",,
"Raised Garden Beds, 8’ x 3’ x 18”, Material TBD (steel, or steel and wood)",3,ea,"$2,000.00","$1,500.00","$6,000.00",,,,,
Garden Shed *,1,ea,$0.00,$0.00,,$0.00,,$0.00,,
Kitchen Cabinet / Fridge Move & Set Up & Electric,1,ea,"$1,500.00","$1,350.00","$1,500.00",,"$1,350.00",,,
Trenching - Electric from house to kitchen fridge,1,ea,$750.00,$562.50,$750.00,,$562.50,,,
,,,,,,,,,,
,,,,,PHASE 1,PHASE 2,PHASE 1 VENDOR,PHASE 2,PROJECT TOTAL,PROJECT TOTAL
,,,SUBTOTAL,,"$203,150.90","$82,262.11","$155,594.60","$63,948.77","$285,413.01","$219,543.37"
,,,Marpa Contracting & Management Fee,,"$40,630.18","$16,452.42","$31,118.92","$12,789.75","$57,082.60","$43,908.67"
,,,Project Foreman Fee,,"$4,063.02","$1,645.24","$3,111.89","$1,278.98","$5,708.26","$4,390.87"
,,,Project Liability Insurance 0.92%,,"$1,868.99",$756.81,"$1,431.47",$588.33,"$2,625.80","$1,866.12"
,,,PROFIT MARGIN,,,,,,,
,,,ESTIMATED PROJECT TOTAL,,"$249,713.09","$101,116.59","$191,256.89","$78,605.83","$350,829.67","$269,709.03"
,,,,,,,,,,
,,,Rough Budget Contingency 12.0,,"$10,157.55","$4,113.11","$7,779.73","$3,197.44","$14,270.65","$10,977.17"
,,,,,,,,,,
,,,,,,,,,,
ADD OPTIONS 13.0,,,,,,,,,"$55,550.00",$0.00
